timestamp,Whole,AC.central.rear,AC.central.forward,AC.central.Left,AC.central.right,AC.central.monkey,AC.central.Hobs,AC.central.tiger
12/1/2015 8:18:10,56,1260.5,1261.25,1260.25,1261,11166,1260.52,1260.33
12/1/2015 8:18:11,56,1261,1261.25,1260.25,1260.25,5231,1260.64,1260.41
12/1/2015 8:18:12,56,1260.25,1262.5,1260.25,1261.75,12487,1261.01,1260.56
12/1/2015 8:18:13,56,1261.75,1262.5,1261.5,1262.25,6157,1261.5,1260.79
12/1/2015 8:18:14,56,1262.5,1263.25,1260,1260.25,15342,1261.56,1260.99
12/1/2015 8:18:15,56,1260,1260.5,1259,1259.5,10553,1260.66,1260.9
12/1/2015 8:18:16,56,1259.5,1260.25,1259.25,1259.5,5085,1260.2,1260.73
12/1/2015 8:18:17,56,1259.5,1260,1259,1259.75,7639,1259.85,1260.51
12/1/2015 8:18:18,56,1259.75,1260,1258.25,1258.75,8773,1259.49,1260.25
12/1/2015 8:18:19,56,1258.75,1258.75,1257.25,1258.5,16526,1258.74,1259.88
12/1/2015 8:18:20,56,1258.5,1259,1257.25,1257.75,8470,1258.43,1259.52
12/1/2015 8:18:21,56,1257.75,1258.75,1256.75,1256.75,15663,1258.09,1259.16
12/1/2015 8:18:22,56,1256.75,1259,1256.75,1258.75,12564,1257.98,1258.87
12/1/2015 8:18:23,56,1259,1260,1258.25,1259.75,9181,1258.55,1258.79
12/1/2015 8:18:24,56,1259.75,1260.25,1259.25,1260.25,5512,1259.15,1258.88
12/1/2015 8:18:25,56,1260,1260.25,1259.25,1259.5,3907,1259.45,1259.02
12/1/2015 8:18:26,56,1259.5,1259.75,1259.25,1259.5,662,1259.48,1259.14
12/1/2015 8:18:27,56,1259.5,1259.75,1259,1259,3542,1259.43,1259.21
12/1/2015 8:18:28,56,1259,1259.75,1259,1259.75,2032,1259.4,1259.26
12/1/2015 8:18:29,56,1259.75,1261.5,1259.5,1260.25,9170,1259.95,1259.43
12/1/2015 8:18:30,56,1260.25,1260.75,1259.25,1259.75,3733,1259.98,1259.57
12/1/2015 8:18:31,56,1259.75,1260,1259.25,1259.75,2232,1259.8,1259.62
12/1/2015 8:18:32,56,1259.5,1260.25,1258.5,1259,8179,1259.59,1259.62
12/1/2015 8:18:33,56,1259.25,1260,1259,1259.75,3974,1259.54,1259.6
12/1/2015 8:18:34,56,1259.75,1261.25,1259.5,1260.75,5910,1259.96,1259.69
12/1/2015 8:18:35,56,1260.75,1260.75,1260.25,1260.5,1796,1260.23,1259.82
12/1/2015 8:18:36,56,1260.5,1260.75,1259.5,1259.75,3765,1260.18,1259.91
12/1/2015 8:18:37,56,1259.5,1260.5,1259.5,1260,2499,1260.09,1259.96
12/1/2015 8:18:38,56,1260,1260.75,1259.5,1259.75,6204,1260.1,1259.98
12/1/2015 8:18:39,56,1259.75,1263.75,1259.75,1262.25,20844,1260.93,1260.22
12/1/2015 8:18:40,56,1262.25,1262.5,1261.75,1262,4543,1261.53,1260.55
12/1/2015 8:18:41,56,1262,1262.25,1260.25,1261.25,7876,1261.39,1260.76
12/1/2015 8:18:42,56,1261.25,1262,1260.75,1261.75,5281,1261.38,1260.91
12/1/2015 8:18:43,56,1261.75,1262,1260.25,1260.5,4723,1261.25,1261
12/1/2015 8:18:44,56,1260.5,1261.25,1260.25,1260.25,2187,1261,1261
12/1/2015 8:18:45,56,1260.25,1261.75,1260.25,1261.5,6312,1261,1261
12/1/2015 8:18:46,56,1261.5,1262,1261.5,1261.75,2353,1261.38,1261.09
12/1/2015 8:18:47,56,1261.75,1263,1261.5,1262.25,3567,1261.81,1261.27
12/1/2015 8:18:48,56,1262.25,1264.5,1262.25,1263.5,16960,1262.59,1261.6
12/1/2015 8:18:49,56,1263.25,1264.25,1263,1263.75,10816,1263.06,1261.93
12/1/2015 8:18:50,56,1263.5,1264.75,1263.25,1264.25,9594,1263.4,1262.2
12/1/2015 8:18:51,56,1264.25,1264.75,1263.5,1264,5531,1263.76,1262.59
12/1/2015 8:18:52,56,1264.25,1265,1263.75,1264.75,3779,1264.07,1262.96
12/1/2015 8:18:53,56,1265,1265.5,1264.5,1265,7706,1264.53,1263.35
12/1/2015 8:18:54,56,1265,1266.5,1264.75,1266,11249,1265.08,1263.78
12/1/2015 8:18:55,56,1266,1266.5,1263,1263.75,15054,1264.91,1264.07
12/1/2015 8:18:56,56,1263.5,1264,1263,1263.25,8246,1264.21,1264.1
12/1/2015 8:18:57,56,1263.5,1263.5,1261.75,1261.75,15863,1263.42,1263.93
12/1/2015 8:18:58,56,1261.75,1263.75,1261.75,1263.25,10418,1263.08,1263.72
12/1/2015 8:18:59,56,1263.25,1263.5,1261.75,1262,19834,1262.85,1263.5
